game_id,game_description,game_type,game_link,game_status,game_sport,game_startTime,game_live,game_awayTeamFirst,game_denySameGame,game_teaserAllowed,game_competitionId,game_notes,game_numMarkets,game_lastModified,competitor_1,competitor_1_home,competitor_2,competitor_2_home,team_1_hcap,team_1_hcap_odds,team_2_hcap,team_2_hcap_odds,team_1_ml_odds,team_2_ml_odds,Over_line,Over_odds,Under_line,Under_odds,draw_ml_odds,Over - 2H_line,Over - 2H_odds,Under - 2H_line,Under - 2H_odds,game_startTime_cst,game_date,game_time,away_team_clean,home_team_clean,DC_Game_ID
12133688,Jan Przybyla vs Michal Raska,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jan-przybyla-michal-raska-202307020700,U,TABL,2023-07-02 11:00:00,False,False,NO,True,9971644,,15,1688245963790.0,Jan Przybyla,True,Michal Raska,False,-1.5,-120,1.5,-120,-140,EVEN,76.5,-120,76.5,-120,,,,,,2023-07-02 06:00:00-05:00,2023-07-02,06:00 AM,,,
12133663,Miloslav Kotil vs Radek Limbursky,GAMEEVENT,/table-tennis/czech-republic/liga-pro/miloslav-kotil-radek-limbursky-202307020700,U,TABL,2023-07-02 11:00:00,False,False,NO,True,9971644,,15,1688245972007.0,Miloslav Kotil,True,Radek Limbursky,False,3.5,-120,-3.5,-120,+125,-180,75.5,-120,75.5,-120,,,,,,2023-07-02 06:00:00-05:00,2023-07-02,06:00 AM,,Miloslav Kotil,
12133669,Jiri Zuzanek vs Miroslav Svedik,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jiri-zuzanek-miroslav-svedik-202307020700,U,TABL,2023-07-02 11:00:00,False,False,NO,True,9971644,,15,1688245963894.0,Jiri Zuzanek,True,Miroslav Svedik,False,4.5,-125,-4.5,-115,+135,-190,75.5,-120,75.5,-120,,,,,,2023-07-02 06:00:00-05:00,2023-07-02,06:00 AM,,Jiri Zuzanek,
12133657,Pavel Sprynar vs Petr Serak,GAMEEVENT,/table-tennis/czech-republic/liga-pro/pavel-sprynar-petr-serak-202307020700,U,TABL,2023-07-02 11:00:00,False,False,NO,True,9971644,,15,1688245972104.0,Pavel Sprynar,True,Petr Serak,False,-3.5,-115,3.5,-125,-170,+120,75.5,-120,75.5,-120,,,,,,2023-07-02 06:00:00-05:00,2023-07-02,06:00 AM,Petr Serak,Pavel Sprynar,07022023-Petr Serak-Pavel Sprynar
12133677,Jaroslav Strnad vs Michal Syroha,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jaroslav-strnad-michal-syroha-202307020730,U,TABL,2023-07-02 11:30:00,False,False,NO,True,9971644,,14,1688245980555.0,Jaroslav Strnad,True,Michal Syroha,False,5.5,-120,-5.5,-120,+160,-230,74.5,-120,74.5,-120,,,,,,2023-07-02 06:30:00-05:00,2023-07-02,06:30 AM,Michal Syroha,Jaroslav Strnad,07022023-Michal Syroha-Jaroslav Strnad
12133660,Josef Fuchs vs Josef Rossler,GAMEEVENT,/table-tennis/czech-republic/liga-pro/josef-fuchs-josef-rossler-202307020730,U,TABL,2023-07-02 11:30:00,False,False,NO,True,9971644,,15,1688245980702.0,Josef Fuchs,True,Josef Rossler,False,8.5,-115,-8.5,-125,+325,-525,70.5,-120,70.5,-120,,,,,,2023-07-02 06:30:00-05:00,2023-07-02,06:30 AM,,Josef Fuchs,
12133674,Vladimir Postelt vs Jaroslav Vanek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/vladimir-postelt-jaroslav-vanek-202307020730,U,TABL,2023-07-02 11:30:00,False,False,NO,True,9971644,,15,1688245988375.0,Vladimir Postelt,True,Jaroslav Vanek,False,6.5,-120,-6.5,-120,+210,-315,73.5,-120,73.5,-120,,,,,,2023-07-02 06:30:00-05:00,2023-07-02,06:30 AM,,Vladimir Postelt,
12133694,Radomir Benesz vs Zdenek Balusek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/radomir-benesz-zdenek-balusek-202307020730,U,TABL,2023-07-02 11:30:00,False,False,NO,True,9971644,,15,1688245988240.0,Radomir Benesz,True,Zdenek Balusek,False,0.5,-125,-0.5,-115,-120,-120,76.5,-120,76.5,-120,,,,,,2023-07-02 06:30:00-05:00,2023-07-02,06:30 AM,,,
12133666,Josef Rossler vs Radek Limbursky,GAMEEVENT,/table-tennis/czech-republic/liga-pro/josef-rossler-radek-limbursky-202307020800,U,TABL,2023-07-02 12:00:00,False,False,NO,True,9971644,,15,1688246009316.0,Josef Rossler,True,Radek Limbursky,False,-4.5,-115,4.5,-125,-190,+135,75.5,-120,75.5,-120,,,,,,2023-07-02 07:00:00-05:00,2023-07-02,07:00 AM,,,
12133679,Michal Syroha vs Petr Serak,GAMEEVENT,/table-tennis/czech-republic/liga-pro/michal-syroha-petr-serak-202307020800,U,TABL,2023-07-02 12:00:00,False,False,NO,True,9971644,,15,1688246009417.0,Michal Syroha,True,Petr Serak,False,0.5,-125,-0.5,-115,-120,-120,76.5,-120,76.5,-120,,,,,,2023-07-02 07:00:00-05:00,2023-07-02,07:00 AM,Petr Serak,Michal Syroha,07022023-Petr Serak-Michal Syroha
