end_date,p_wt,t_wt,success_rate
12/31/2021,0.33,0.6699999999999999,0.5180555555555556
12/31/2021,0.34,0.6599999999999999,0.5180555555555556
12/31/2021,0.35,0.65,0.5173611111111112
12/31/2021,0.36,0.64,0.5177083333333333
12/31/2021,0.37,0.63,0.5180555555555556
12/31/2021,0.38,0.62,0.51875
12/31/2021,0.39,0.61,0.5194444444444445
12/31/2021,0.4,0.6,0.5184027777777778
12/31/2021,0.41,0.5900000000000001,0.5184027777777778
12/31/2021,0.42,0.5800000000000001,0.5197916666666667
12/31/2021,0.43,0.5700000000000001,0.5197916666666667
12/31/2021,0.44,0.56,0.5208333333333334
12/31/2021,0.45,0.55,0.5211805555555555
12/31/2021,0.46,0.54,0.5215277777777778
12/31/2021,0.47,0.53,0.5204861111111111
12/31/2021,0.48,0.52,0.5211805555555555
12/31/2021,0.49,0.51,0.5215277777777778
12/31/2021,0.5,0.5,0.5222222222222223
12/31/2021,0.51,0.49,0.5229166666666667
12/31/2021,0.52,0.48,0.5229166666666667
12/31/2021,0.53,0.47,0.5236111111111111
12/31/2021,0.54,0.45999999999999996,0.5225694444444444
12/31/2021,0.55,0.44999999999999996,0.521875
12/31/2021,0.56,0.43999999999999995,0.5222222222222223
12/31/2021,0.57,0.43000000000000005,0.5208333333333334
12/31/2021,0.58,0.42000000000000004,0.5222222222222223
12/31/2021,0.59,0.41000000000000003,0.5222222222222223
12/31/2021,0.6,0.4,0.521875
12/31/2021,0.61,0.39,0.521875
12/31/2021,0.62,0.38,0.521875
12/31/2021,0.63,0.37,0.5211805555555555
12/31/2021,0.64,0.36,0.5211805555555555
12/31/2021,0.65,0.35,0.5215277777777778
12/31/2021,0.66,0.33999999999999997,0.521875
12/31/2021,0.67,0.32999999999999996,0.521875
12/31/2021,0.68,0.31999999999999995,0.5229166666666667
12/31/2021,0.69,0.31000000000000005,0.5225694444444444
12/31/2021,0.7,0.30000000000000004,0.5222222222222223
12/31/2021,0.71,0.29000000000000004,0.5225694444444444
12/31/2021,0.72,0.28,0.5225694444444444
12/31/2021,0.73,0.27,0.5229166666666667
