away_team,home_team,away_spread,home_spread,away_spread_handle,home_spread_handle,away_spread_bets,home_spread_bets,total_over,total_under,total_over_handle,total_under_handle,total_over_bets,total_under_bets,away_ml,home_ml,away_ml_handle,home_ml_handle,away_ml_bets,home_ml_bets,Sport
MIA Heat,DEN Nuggets,+8.5,-8.5,43%,57%,52%,48%,219,219,69%,31%,62%,38%,+295,-360,43%,57%,64%,36%,NBA
MIA Heat,DEN Nuggets,+9,-9,45%,55%,53%,47%,214,214,49%,51%,46%,54%,+320,-390,32%,68%,52%,48%,NBA
DET Lions,KC Chiefs,+6.5,-6.5,56%,44%,50%,50%,53.5,53.5,72%,28%,64%,36%,+225,-265,42%,58%,20%,80%,NFL
HOU Texans,BAL Ravens,+9.5,-9.5,23%,77%,43%,57%,45.5,45.5,22%,78%,38%,62%,+330,-410,7%,93%,8%,92%,NFL
CIN Bengals,CLE Browns,-2.5,+2.5,76%,24%,81%,19%,47,47,56%,44%,51%,49%,-130,+110,77%,23%,78%,22%,NFL
SF 49ers,PIT Steelers,-3,+3,37%,63%,60%,40%,42,42,21%,79%,46%,54%,-145,+125,65%,35%,73%,27%,NFL
JAX Jaguars,IND Colts,-3.5,+3.5,77%,23%,76%,24%,43.5,43.5,55%,45%,62%,38%,-175,+150,81%,19%,81%,19%,NFL
ARI Cardinals,WAS Commanders,+6,-6,26%,74%,60%,40%,40.5,40.5,50%,50%,60%,40%,+195,-230,11%,89%,31%,69%,NFL
TB Buccaneers,MIN Vikings,+6.5,-6.5,69%,31%,34%,66%,46.5,46.5,26%,74%,36%,64%,+225,-265,37%,63%,10%,90%,NFL
CAR Panthers,ATL Falcons,+2.5,-2.5,15%,85%,53%,47%,43.5,43.5,13%,87%,39%,61%,+130,-150,28%,72%,52%,48%,NFL
TEN Titans,NO Saints,+3.5,-3.5,53%,47%,51%,49%,42,42,48%,52%,53%,47%,+150,-175,42%,58%,34%,66%,NFL
PHI Eagles,NE Patriots,-4.5,+4.5,69%,31%,79%,21%,46,46,36%,64%,55%,45%,-200,+170,52%,48%,89%,11%,NFL
LV Raiders,DEN Broncos,+3.5,-3.5,32%,68%,51%,49%,45,45,43%,57%,29%,71%,+150,-175,34%,66%,34%,66%,NFL
MIA Dolphins,LA Chargers,+2.5,-2.5,48%,52%,60%,40%,49.5,49.5,77%,23%,69%,31%,+115,-135,74%,26%,56%,44%,NFL
DAL Cowboys,NY Giants,-3,+3,71%,29%,63%,37%,47,47,16%,84%,45%,55%,-150,+130,77%,23%,65%,35%,NFL
GB Packers,CHI Bears,+2.5,-2.5,20%,80%,20%,80%,44,44,61%,39%,47%,53%,+120,-140,33%,67%,28%,72%,NFL
