gameID,sport,game_time,team1,team1_pred,team2,team2_pred,lastMod_ESPNpred,away_team_clean,home_team_clean,DC_Game_ID
401520162,college-football,2023-09-02 07:00:00,East Carolina Pirates,3.3%,Michigan Wolverines,96.7%,07/09/2023 10:27:26 PM,East Carolina,Michigan,09022023-East Carolina-Michigan
401525825,college-football,2023-09-02 14:30:00,Texas Tech Red Raiders,82.2%,Wyoming Cowboys,17.8%,07/09/2023 10:27:26 PM,Texas Tech,Wyoming,09022023-Texas Tech-Wyoming
401523996,college-football,2023-09-02 13:30:00,Nevada Wolf Pack,2.2%,USC Trojans,97.8%,07/09/2023 10:27:27 PM,Nevada,USC,09022023-Nevada-USC
401520175,college-football,2023-09-02 14:00:00,Army Black Knights,60.9%,UL Monroe Warhawks,39.1%,07/09/2023 10:27:27 PM,Army,UL Monroe,09022023-Army-UL Monroe
401520161,college-football,2023-09-02 10:30:00,Towson Tigers,4.8%,Maryland Terrapins,95.2%,07/09/2023 10:27:28 PM,Towson Tigers,Maryland Terrapins,09022023-Towson Tigers-Maryland Terrapins
401525434,college-football,2023-08-26 09:30:00,Navy Midshipmen,3.3%,Notre Dame Fighting Irish,96.7%,07/09/2023 10:27:28 PM,Navy,Notre Dame,08262023-Navy-Notre Dame
401520177,college-football,2023-09-02 16:00:00,Incarnate Word Cardinals,5.9%,UTEP Miners,94.1%,07/09/2023 10:27:28 PM,Incarnate Word Cardinals,UTEP,09022023-Incarnate Word Cardinals-UTEP
401520159,college-football,2023-09-02 07:00:00,Ball State Cardinals,6.6%,Kentucky Wildcats,93.4%,07/09/2023 10:27:29 PM,Ball State,Kentucky,09022023-Ball State-Kentucky
401520163,college-football,2023-09-01 14:00:00,Central Michigan Chippewas,7.7%,Michigan State Spartans,92.3%,07/09/2023 10:27:29 PM,Central Michigan,Michigan State,09012023-Central Michigan-Michigan State
401532394,college-football,2023-09-01 13:30:00,Howard Bison,1.0%,Eastern Michigan Eagles,99.0%,07/09/2023 10:27:29 PM,Howard Bison,Eastern Michigan Eagles,09012023-Howard Bison-Eastern Michigan Eagles
401523988,college-football,2023-09-01 18:00:00,Stanford Cardinal,62.8%,Hawai'i Rainbow Warriors,37.2%,07/09/2023 10:27:30 PM,Stanford,Hawaii,09012023-Stanford-Hawaii
401520154,college-football,2023-09-02 13:00:00,UT Martin Skyhawks,1.0%,Georgia Bulldogs,99.0%,07/09/2023 10:27:30 PM,UT Martin Skyhawks,Georgia,09022023-UT Martin Skyhawks-Georgia
401525818,college-football,2023-09-02 10:30:00,Eastern Kentucky Colonels,2.0%,Cincinnati Bearcats,98.0%,07/09/2023 10:27:30 PM,Eastern Kentucky Colonels,Cincinnati Bearcats,09022023-Eastern Kentucky Colonels-Cincinnati Bearcats
